uuid,brief,notes,audience,tone,issue_tag
7ea8c104-c95f-4706-bc8f-7da936bbbde2,Student reports frequent arguments at home.,"Student reports frequent arguments at home. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,family_conflict
72748c1c-ad9f-46b6-9e85-d00d4c5ee7c3,Student mentions using alcohol on weekends due to stress.,"Student mentions using alcohol on weekends due to stress. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,substance_use
8f91cd1c-5dcb-4a81-835e-643548ba0fdd,Student says they don't feel good enough compared to peers.,"Student says they don't feel good enough compared to peers. Use encouraging, clear steps the student can try this week. Avoid jargon and keep sentences short and clear. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,plain_language,low_self_esteem
52925c28-b0b0-42d5-be01-39755bf2f253,Student feels overwhelmed by assignments and exams.,"Student feels overwhelmed by assignments and exams. Offer supportive, practical steps for home and communication. Acknowledge cultural context and family values respectfully. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,culturally_sensitive,academic_stress
9351fbb7-ee51-4de3-92cd-1663fd6994d7,Student experiences worry and physical tension before class.,"Student experiences worry and physical tension before class. Focus on accommodations and classroom strategies. Use formal structure with headings and bullet points. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,formal_report,anxiety
255c3e3c-2f2c-42fb-b407-141dccab7d7b,Student reports low mood and low motivation recently.,"Student reports low mood and low motivation recently. Emphasize formulation, risk, and intervention planning. Use simple, motivational language with concrete tips. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,student_friendly,depression
b74cce26-9390-4154-aeee-b301accadc25,Student has difficulty falling asleep and staying asleep.,"Student has difficulty falling asleep and staying asleep. Use encouraging, clear steps the student can try this week. Offer collaborative tone and step-by-step guidance. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",student,parent_friendly,sleep_issues
fed5ab41-cdd0-4afa-a219-ba232687b85a,Student reports being teased and excluded by peers.,"Student reports being teased and excluded by peers. Offer supportive, practical steps for home and communication. Include immediate safety steps and crisis contacts. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",parent,crisis_informational,bullying
26417af2-3a25-43e0-8a0c-9cba37576be4,Student is grieving a recent loss in the family.,"Student is grieving a recent loss in the family. Focus on accommodations and classroom strategies. Use objective, concise clinical language. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",school_staff,neutral_clinical,grief
c7dda625-e650-4051-a009-99d375a69533,Student avoids reminders of a past distressing event.,"Student avoids reminders of a past distressing event. Emphasize formulation, risk, and intervention planning. Use empathic language and normalize common reactions. Next steps include identifying triggers, practicing coping skills, and connecting with trusted supports. Monitor progress and adjust as needed.",therapist,supportive,trauma
